Date,Ticker,Open,High,Low,Close,Volume,Adj Close
2015-04-10,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-04-09,BOA,0.25,0.25,0.25,0.25,100,0.25
2015-04-08,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-04-07,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-04-06,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-04-03,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-04-02,BOA,0.25,0.25,0.25,0.25,500,0.25
2015-04-01,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-03-31,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-03-30,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-03-27,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-03-26,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-03-25,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-03-24,BOA,0.25,0.25,0.25,0.25,2600,0.25
2015-03-23,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-03-20,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-03-19,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-03-18,BOA,0.25,0.25,0.25,0.25,000,0.25
2015-03-17,BOA,0.28,0.28,0.25,0.25,9100,0.25
2015-03-16,BOA,0.28,0.28,0.28,0.28,000,0.28
2015-03-13,BOA,0.28,0.28,0.28,0.28,3000,0.28
2015-03-12,BOA,0.30,0.30,0.28,0.28,1000,0.28
2015-03-11,BOA,0.32,0.32,0.32,0.32,000,0.32
2015-03-10,BOA,0.32,0.32,0.32,0.32,000,0.32
2015-03-09,BOA,0.32,0.32,0.32,0.32,000,0.32
2015-03-06,BOA,0.32,0.32,0.32,0.32,000,0.32
2015-03-05,BOA,0.32,0.32,0.32,0.32,000,0.32
2015-03-04,BOA,0.32,0.32,0.32,0.32,000,0.32
2015-03-03,BOA,0.32,0.32,0.32,0.32,000,0.32
2015-03-02,BOA,0.32,0.32,0.32,0.32,000,0.32
2015-02-27,BOA,0.32,0.32,0.32,0.32,000,0.32
2015-02-26,BOA,0.32,0.32,0.32,0.32,000,0.32
2015-02-25,BOA,0.32,0.32,0.32,0.32,100,0.32
2015-02-24,BOA,0.33,0.33,0.33,0.33,000,0.33
2015-02-23,BOA,0.33,0.33,0.33,0.33,000,0.33
2015-02-20,BOA,0.33,0.33,0.33,0.33,000,0.33
2015-02-19,BOA,0.33,0.33,0.33,0.33,000,0.33
2015-02-18,BOA,0.33,0.33,0.33,0.33,000,0.33
2015-02-17,BOA,0.33,0.33,0.33,0.33,000,0.33
2015-02-16,BOA,0.33,0.33,0.33,0.33,000,0.33
2015-02-13,BOA,0.33,0.33,0.33,0.33,000,0.33
2015-02-12,BOA,0.33,0.33,0.33,0.33,000,0.33
2015-02-11,BOA,0.33,0.33,0.33,0.33,000,0.33
2015-02-10,BOA,0.33,0.33,0.33,0.33,000,0.33
2015-02-09,BOA,0.33,0.33,0.33,0.33,000,0.33
2015-02-06,BOA,0.33,0.33,0.33,0.33,000,0.33
